date,CO,NO2,SO2,O3
2025-12-06 00:00:00+00:00,0.029156135333333333,3.3333333333333335e-05,-1.0526315789473686e-05,0.109523311
2025-12-07 00:00:00+00:00,0.029172331666666666,2.666666666666667e-05,-5.263157894736843e-06,0.114269727
2025-12-08 00:00:00+00:00,0.029188528,2e-05,0.0,0.113195363
2025-12-09 00:00:00+00:00,0.0298620505,2.25e-05,5e-05,0.113869301
2025-12-10 00:00:00+00:00,0.030535573,2.5e-05,0.0001,0.115255686
2025-12-11 00:00:00+00:00,0.031745434,2.75e-05,0.0001,0.112808784
2025-12-12 00:00:00+00:00,0.030863608,3e-05,-0.0001,0.114757938
2025-12-13 00:00:00+00:00,0.030184465,3e-05,-0.0001,0.112639458
2025-12-14 00:00:00+00:00,0.025900393,3e-05,5.000000000000001e-05,0.113688926
2025-12-15 00:00:00+00:00,0.021616321,3e-05,0.0002,0.115135216
2025-12-16 00:00:00+00:00,0.023896341,3e-05,-0.0001,0.113995448
2025-12-17 00:00:00+00:00,0.026176361,3e-05,0.0,0.113667323
2025-12-18 00:00:00+00:00,0.02662549,3.4e-05,-2e-05,0.11315045
2025-12-19 00:00:00+00:00,0.026726278250000002,3.8e-05,-4e-05,0.114932283
2025-12-20 00:00:00+00:00,0.026827066500000003,4.2000000000000004e-05,-6.000000000000001e-05,0.114192784
2025-12-21 00:00:00+00:00,0.02692785475,4.600000000000001e-05,-8e-05,0.113424176
2025-12-22 00:00:00+00:00,0.027028643,5e-05,-0.0001,0.114541568
2025-12-23 00:00:00+00:00,0.027496912,3e-05,0.0,0.116282523
2025-12-24 00:00:00+00:00,0.023841491,3e-05,0.0001,0.115180567
2025-12-25 00:00:00+00:00,0.029970826,3e-05,0.0001,0.114428177
2025-12-26 00:00:00+00:00,0.02819883533333333,3e-05,5e-05,0.1160849
2025-12-27 00:00:00+00:00,0.026426844666666668,3e-05,0.0,0.11575653
2025-12-28 00:00:00+00:00,0.024654854,3e-05,-5.000000000000001e-05,0.113493768
2025-12-29 00:00:00+00:00,0.030383088,2e-05,-0.0001,0.114606809
2025-12-30 00:00:00+00:00,0.0300636425,2e-05,0.0,0.113986004
2025-12-31 00:00:00+00:00,0.029744197,2e-05,1.4285714285714287e-05,0.114750552
2026-01-01 00:00:00+00:00,0.029424751500000002,2e-05,2.8571428571428574e-05,0.11624884
2026-01-02 00:00:00+00:00,0.029105306,2e-05,4.2857142857142856e-05,0.115506387
2026-01-03 00:00:00+00:00,0.02956281,2e-05,5.714285714285715e-05,0.11512167
2026-01-04 00:00:00+00:00,0.0286252524,2e-05,7.142857142857143e-05,0.11463873
2026-01-05 00:00:00+00:00,0.0276876948,2e-05,8.571428571428571e-05,0.114426152
2026-01-06 00:00:00+00:00,0.0267501372,2e-05,0.0001,0.116317146
2026-01-07 00:00:00+00:00,0.0258125796,2.0769230769230772e-05,3.3333333333333335e-05,0.114049104
2026-01-08 00:00:00+00:00,0.024875022,2.153846153846154e-05,-3.3333333333333335e-05,0.114463404
2026-01-09 00:00:00+00:00,0.025552969000000002,2.230769230769231e-05,-0.0001,0.116126099
2026-01-10 00:00:00+00:00,0.026230916,2.307692307692308e-05,-0.0001,0.114054733
2026-01-11 00:00:00+00:00,0.026908862999999998,2.384615384615385e-05,-0.0001,0.115436985
2026-01-12 00:00:00+00:00,0.02758681,2.4615384615384616e-05,-0.0001,0.114045182
2026-01-13 00:00:00+00:00,0.027885277,2.5384615384615386e-05,-0.0001,0.113543421
2026-01-14 00:00:00+00:00,0.028183744,2.6153846153846153e-05,-0.0001,0.114529108
2026-01-15 00:00:00+00:00,0.0286222072,2.6923076923076923e-05,-0.0001,0.11304794
2026-01-16 00:00:00+00:00,0.0290606704,2.7692307692307694e-05,-0.0001,0.113685849
2026-01-17 00:00:00+00:00,0.0294991336,2.8461538461538464e-05,-0.0001,0.114095873
