date,feature_index,SO2
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,
2025-11-25T00:00:00.000Z,0,
2025-11-28T00:00:00.000Z,0,
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,-8.538530164514668E-5
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,
2025-11-18T00:00:00.000Z,0,-1.5203027942334302E-4
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,1.166765552625293E-4
2025-10-11T00:00:00.000Z,0,-1.1821132284239866E-4
2025-10-12T00:00:00.000Z,0,1.54433109855745E-4
2025-10-14T00:00:00.000Z,0,-1.1097866202665803E-4
2025-10-09T00:00:00.000Z,0,9.20285856409464E-5
2025-10-13T00:00:00.000Z,0,-3.7335044908104464E-5
2025-10-10T00:00:00.000Z,0,-5.052025699114893E-6
2025-10-07T00:00:00.000Z,0,6.367840675617724E-5
2025-10-08T00:00:00.000Z,0,1.2135631883817648E-4
2025-09-08T00:00:00.000Z,0,-3.795592929236591E-4
2025-09-10T00:00:00.000Z,0,3.3107467364364616E-5
2025-09-12T00:00:00.000Z,0,-5.890479830365317E-5
2025-09-11T00:00:00.000Z,0,-3.670495963888243E-4
2025-09-06T00:00:00.000Z,0,1.1740797011346633E-4
2025-09-07T00:00:00.000Z,0,7.467417344741989E-5
2025-09-09T00:00:00.000Z,0,1.3847951777279377E-5
2025-09-05T00:00:00.000Z,0,1.2779278525461754E-4
